Weather and Climate Billion-Dollar Disasters to affect the U.S. from 1980-2021 (CPI-Adjusted)
"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Northeast Ice Storm (January 1998)","Winter Storm",19980105,19980109,2369.1,16
"Western/Eastern Severe Weather and Flooding (Winter-Spring 1998)","Severe Storm",19971201,19980228,1727.7,132
"Minnesota Severe Storms/Hail (May 1998)","Severe Storm",19980515,19980515,2756.8,1
"Severe Storms, Tornadoes (June 1998)","Severe Storm",19980530,19980602,1923.7,20
"Tropical Storm Frances (September 1998)","Tropical Cyclone",19980808,19980813,1183.0,2
"Hurricane Bonnie (August 1998)","Tropical Cyclone",19980827,19980829,1656.2,3
"Southern Drought and Heat Wave (Summer 1998)","Drought",19980601,19980831,5962.4,200
"Hurricane Georges (September 1998)","Tropical Cyclone",19980920,19980929,10113.9,16
"Texas Flooding (October 1998)","Flooding",19981016,19981024,1592.1,31
"California Freeze (December 1998)","Freeze",19981220,19981228,4225.0,0
"Central and Eastern Winter Storm (January 1999)","Winter Storm",19990101,19990104,1724.2,25
"Central and Eastern Winter Storm (Mid-January 1999)","Winter Storm",19990113,19990116,1473.0,0
"Oklahoma and Kansas Tornadoes (May 1999)","Severe Storm",19990503,19990506,3360.3,55
"Eastern Drought/Heatwave (Summer 1999)","Drought",19990601,19990831,4173.2,502
"Hurricane Floyd (September 1999)","Tropical Cyclone",19990914,19990916,10839.9,77
"Southeast Winter Storm (January 2000)","Winter Storm",20000121,20000124,1143.7,4
"Southern Severe Weather (March 2000)","Severe Storm",20000328,20000329,1104.0,0
"Western Fire Season (Spring-Summer 2000)","Wildfire",20000301,20000831,1741.5,0
"South Florida Flooding (October 2000)","Flooding",20001003,20001004,1458.0,3
"Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000)","Drought",20000301,20001130,8095.5,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)","Severe Storm",20010406,20010411,4828.0,3
"Tropical Storm Allison (June 2001)","Tropical Cyclone",20010605,20010617,13294.3,43
"Severe Storms and Tornadoes (April 2002)","Severe Storm",20020427,20020428,3224.4,7
"Hurricane Lili (October 2002)","Tropical Cyclone",20020801,20020805,1701.0,2
"Tropical Storm Isidore (September 2002)","Tropical Cyclone",20020925,20020927,1736.5,5
"Eastern Tornadoes and Severe Storms (November 2002)","Severe Storm",20021109,20021111,1087.2,28
"Western Fire Season (Fall 2002)","Wildfire",20020901,20021130,2037.0,21
"U.S. Drought (Spring-Fall 2002)","Drought",20020301,20021130,13869.9,0
"Severe Storms/Hail (April 2003)","Severe Storm",20030404,20030407,3029.5,3
"Severe Storms/Tornadoes (May 2003)","Severe Storm",20030503,20030510,6233.9,51
"Midwest/Plains Severe Weather (July 2003)","Severe Storm",20030704,20030709,1295.7,7
"Severe Weather (July 2003)","Severe Storm",20030721,20030723,1522.5,7
"Hurricane Isabel (September 2003)","Tropical Cyclone",20030918,20030919,8280.9,55
"Western/Central Drought/Heatwave (Spring-Fall 2003)","Drought",20030301,20031130,7576.7,35
"California Wildfires (Fall 2003)","Wildfire",20030901,20031130,5874.3,22
"Severe Storms, Hail, Tornadoes (May 2004)","Severe Storm",20040521,20040527,1500.8,4
"Hurricane Charley (August 2004)","Tropical Cyclone",20040813,20040814,23679.3,35
"Hurricane Frances (September 2004)","Tropical Cyclone",20040903,20040909,14504.0,48
"Hurricane Ivan (September 2004)","Tropical Cyclone",20040912,20040921,30340.8,57
"Hurricane Jeanne (September 2004)","Tropical Cyclone",20040915,20040929,11094.8,28
"Southeast Severe Weather (March 2005)","Severe Storm",20050324,20050327,1237.0,0
"Hurricane Dennis (July 2005)","Tropical Cyclone",20050709,20050711,3567.9,15
"Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,178792.1,1833
"Midwest Drought (Spring-Summer 2005)","Drought",20050301,20050831,2109.0,0
"Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,26455.1,119
"Hurricane Wilma (October 2005)","Tropical Cyclone",20051024,20051024,27170.0,35
"Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,1845.9,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2213.4,10
"Midwest Tornadoes (April 2006)","Severe Storm",20060413,20060416,3344.4,27
"Northeast Flooding (June 2006)","Flooding",20060625,20060628,2099.7,20
